MEASURE,GROUP,SUBJECT,CATEGORY,TAX,DETAILS,2020,2021,2022,2023,2024,2025,2026,2027
Earned depletion,Tax expenditure,Business - natural resources,Non-structural,PIT,Personal income tax,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Earned depletion,Tax expenditure,Business - natural resources,Non-structural,CIT,Corporate income tax,1,S,S,5,S,1,1,1
Education Tax Credit,Tax expenditure,Education,Structural,PIT,Personal income tax,190,115,45,S,S,S,S,S
"Eligible Dependant Credit,Tax expenditure,Families and households,Structural,PIT,Personal income tax,""1,270"",""1,290"",""1,230"",""1,290"",""1,400"",""1,400"",""1,390"",""1,435"""
Employee Ownership Capital Gains Exemption,Tax expenditure,Business - other,Non-structural,PIT,Personal income tax, –, –, –, S,1,5,15, S
"Employee stock option deduction,Tax expenditure,Employment,Non-structural,PIT,Personal income tax,920,""1,645"",""1,130"",855,""1,070"",""1,155"",""1,230"",""1,335"""
"Enhanced rebate for new residential rental property,Tax expenditure,Housing,Non-structural,GST,Goods and Services Tax,–,–,–,S,20,520,960,""1,205"""
EV Supply Chain Investment Tax Credit,Refundable tax credit classified as transfer payment,Environment,N/A,CIT,Corporate Income Tax,–,–,–,–,–,–,–,–
Exemption from branch tax for transportation, communications, and iron ore mining corporations,Tax expenditure,Business - other,Structural,CIT,Corporate income tax,X,X,X,X,X,X,X,X
Exemption from GST and rebate for legal aid services,Tax expenditure,Social,Non-structural,GST,Goods and Services Tax,45,50,50,55,55,60,60,65
"Exemption from GST for certain residential rent,Tax expenditure,Housing,Non-structural,GST,Goods and Services Tax,""1,980"",""1,830"",""2,080"",""2,440"",""2,590"",""2,770"",""2,910"",""2,995"""
"Exemption from GST for certain supplies made by charities and non-profit organizations,Tax expenditure,""Donations, gifts, charities, and non-profit organizations"",Non-structural,GST,Goods and Services Tax,""1,490"",""1,560"",""1,680"",""1,815"",""1,900"",""1,965"",""2,035"",""2,100"""
Exemption from GST for child care,Tax expenditure,Families and households,Non-structural,GST,Goods and Services Tax,150,190,230,190,200,210,215,225
Exemption from GST for ferry, road and bridge tolls,Tax expenditure,Social,Non-structural,GST,Goods and Services Tax,10,10,15,15,15,15,20,20
"Exemption from GST for health care services,Tax expenditure,Health,Non-structural,GST,Goods and Services Tax,885,990,""1,080"",""1,145"",""1,200"",""1,240"",""1,295"",""1,365"""
Exemption from GST for hospital parking,Tax expenditure,Health,Non-structural,GST,Goods and Services Tax,10,15,15,15,20,20,20,20
