MESURE,GROUPE,THÈME,CATÉGORIE,IMPÔT OU TAXE,DÉTAILS,2020,2021,2022,2023,2024,2025,2026,2027
Crédit d’impôt pour la création d’emplois d’apprentis,Dépenses fiscales,Emploi,Mesures non structurelles,IRP/FID/IRS,Total,95,95,90,110,115,120,120,125
Crédit d’impôt pour la rénovation d’habitations multigénérationnelles,Crédits d'impôt remboursables classés comme des paiements de transfert,Logement,S/O,IRP,Impôt sur le revenu des particuliers,–,–,–,25,25,25,25,25
Crédit d’impôt pour les pompiers volontaires,Dépenses fiscales,Social,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,15,20,15,20,35,35,35,35
Crédit d’impôt pour manuels,Dépenses fiscales,Éducation,Mesures structurelles,IRP,Impôt sur le revenu des particuliers,30,20,5,F,F,F,F,F
"Crédit d’impôt pour personnes handicapées,Dépenses fiscales,Santé,Mesures structurelles,IRP,Impôt sur le revenu des particuliers,""1,195"",""1,230"",""1,325"",""1,535"",""1,645"",""1,700"",""1,790"",""1,850"""
Crédit d’impôt pour production cinématographique ou magnétoscopique canadienne,Crédits d'impôt remboursables classés comme des paiements de transfert,Arts et culture,S/O,IRS,Impôt sur le revenu des sociétés,255,295,365,395,430,445,455,475
Crédit d’impôt pour services de production cinématographique ou magnétoscopique,Crédits d'impôt remboursables classés comme des paiements de transfert,Arts et culture,S/O,IRS,Impôt sur le revenu des sociétés,355,430,485,480,405,470,485,505
Crédit d’impôt pour volontaires participant à des activités de recherche et de sauvetage,Dépenses fiscales,Social,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,2,2,2,3,5,5,5,5
"Crédit d’impôt relatif au montant personnel de base,Mesures fiscales ne constituant pas des dépenses fiscales,Autres,Mesures structurelles,IRP,Impôt sur le revenu des particuliers,""44,575"",""46,200"",""47,720"",""51,370"",""55,455"",""55,360"",""54,640"",""56,240"""
Crédit d’impôt sur les opérations forestières,Dépenses fiscales,Arrangements fiscaux intergouvernementaux,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers–particuliers,1,2,3,1,1,1,1,1
Crédit d’impôt sur les opérations forestières,Dépenses fiscales,Arrangements fiscaux intergouvernementaux,Mesures non structurelles,FID,Impôt sur le revenu des particuliers–fiducies,X,X,X,X,X,X,X,X
Crédit d’impôt sur les opérations forestières,Dépenses fiscales,Arrangements fiscaux intergouvernementaux,Mesures non structurelles,IRS,Impôt sur le revenu des sociétés,55,240,185,40,55,50,45,40
Crédit d’impôt sur les opérations forestières,Dépenses fiscales,Arrangements fiscaux intergouvernementaux,Mesures non structurelles,IRP/FID,Total–impôt sur le revenu des particuliers,X,X,X,X,X,X,X,X
Crédit d’impôt sur les opérations forestières,Dépenses fiscales,Arrangements fiscaux intergouvernementaux,Mesures non structurelles,IRP/FID/IRS,Total,X,X,X,X,X,X,X,X
"Crédit d'impôt à l'investissement pour l'électricité propre,Crédits d'impôt remboursables classés comme des paiements de transfert,Environnement,S/O,IRS,Impôt sur le revenu des sociétés,–,–,–,–,215,955,""1,160"",""1,380"""
Crédit d'impôt pour la main-d'oeuvre journalistique canadienne,Crédits d'impôt remboursables classés comme des paiements de transfert,Entreprises - autres,S/O,IRP,Impôt sur le revenu des particuliers,1,F,F,F,F,F,F,F
Crédit d'impôt pour la main-d'oeuvre journalistique canadienne,Crédits d'impôt remboursables classés comme des paiements de transfert,Entreprises - autres,S/O,IRS,Impôt sur le revenu des sociétés,35,35,40,65,70,75,75,60
Crédit d'impôt pour la main-d'oeuvre journalistique canadienne,Crédits d'impôt remboursables classés comme des paiements de transfert,Entreprises - autres,S/O,IRP/IRS,Total,35,35,40,65,70,75,75,60
Crédit d'impôt pour les préposés aux services de soutien à la personne,Crédits d'impôt remboursables classés comme des paiements de transfert,Emploi,S/O,IRP,Impôt sur le revenu des particuliers,–,–,–,–,–,–,280,290
"Crédit en raison de l’âge,Dépenses fiscales,Social,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,""3,945"",""3,990"",""4,140"",""4,670"",""5,075"",""5,210"",""5,300"",""5,580"""
"Crédit pour époux ou conjoint de fait,Dépenses fiscales,Familles et ménages,Mesures structurelles,IRP,Impôt sur le revenu des particuliers,""1,685"",""1,840"",""2,090"",""2,285"",""2,460"",""2,450"",""2,405"",""2,465"""
"Crédit pour impôt étranger–particuliers,Mesures fiscales ne constituant pas des dépenses fiscales,International,Mesures structurelles,IRP,Impôt sur le revenu des particuliers–particuliers,""1,925"",""2,075"",""2,310"",""2,480"",""2,605"",""2,680"",""2,745"",""2,825"""
Crédit pour impôt étranger–particuliers,Mesures fiscales ne constituant pas des dépenses fiscales,International,Mesures structurelles,FID,Impôt sur le revenu des particuliers–fiducies,45,90,80,50,50,55,55,55
"Crédit pour impôt étranger–particuliers,Mesures fiscales ne constituant pas des dépenses fiscales,International,Mesures structurelles,IRP/FID,Total–impôt sur le revenu des particuliers,""1,970"",""2,165"",""2,390"",""2,530"",""2,655"",""2,735"",""2,800"",""2,880"""
"Crédit pour la taxe sur les produits et services/taxe de vente harmonisée,Dépenses fiscales,Familles et ménages,Mesures structurelles,TPS,Taxe sur les produits et services,""10,450"",""5,030"",""7,335"",""8,120"",""6,195"",""6,400"",""6,575"",""6,760"""
Crédit pour les abonnements aux médias d'information numériques canadiens,Dépenses fiscales,Social,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,10,15,15,20,20,n.d.,n.d.,n.d.
"Crédit pour personne à charge admissible,Dépenses fiscales,Familles et ménages,Mesures structurelles,IRP,Impôt sur le revenu des particuliers,""1,270"",""1,290"",""1,230"",""1,290"",""1,400"",""1,400"",""1,390"",""1,435"""
"Crédit pour revenu de pension,Dépenses fiscales,Retraite,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,""1,270"",""1,300"",""1,335"",""1,375"",""1,415"",""1,405"",""1,400"",""1,440"""
Crédit relatif à une société à capital de risque de travailleurs,Dépenses fiscales,Épargne et investissement,Mesures non structurelles,IRP,Impôt sur le revenu des particuliers,180,175,185,190,215,205,205,205
Déductibilité des contributions à une fiducie pour l’environnement admissible,Dépenses fiscales,Environnement,Mesures structurelles,IRP,Impôt sur le revenu des particuliers,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Déductibilité des contributions à une fiducie pour l’environnement admissible,Dépenses fiscales,Environnement,Mesures structurelles,IRS,Impôt sur le revenu des sociétés,50,40,50,50,50,50,50,50
Déductibilité des contributions à une fiducie pour l’environnement admissible,Dépenses fiscales,Environnement,Mesures structurelles,IRP/IRS,Total,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
Déductibilité des dépenses des artistes employés,Dépenses fiscales,Emploi,Mesures structurelles,IRP,Impôt sur le revenu des particuliers,F,F,F,F,F,F,F,F
"Déductibilité des dons de bienfaisance,Dépenses fiscales,""Dons de bienfaisance, autres dons, organismes de bienfaisance et organismes à but non lucratif"",Mesures non structurelles,IRS,Total–impôt sur le revenu des sociétés,790,""1,080"",""1,045"",885,""1,645"",""1,465"",""1,475"",""1,690"""
"Déductibilité des dons de bienfaisance,Dépenses fiscales,""Dons de bienfaisance, autres dons, organismes de bienfaisance et organismes à but non lucratif"",Mesures non structurelles,IRS,Terres écosensibles,1,1,5,15,5,5,5,5"
"Déductibilité des dons de bienfaisance,Dépenses fiscales,""Dons de bienfaisance, autres dons, organismes de bienfaisance et organismes à but non lucratif"",Mesures non structurelles,IRS,Biens culturels,2,2,2,5,50,20,20,20"
"Déductibilité des dons de bienfaisance,Dépenses fiscales,""Dons de bienfaisance, autres dons, organismes de bienfaisance et organismes à but non lucratif"",Mesures non structurelles,IRS,Autres,785,""1,080"",""1,040"",865,""1,590"",""1,440"",""1,450"",""1,665"""
"Déductibilité des dons de bienfaisance,Dépenses fiscales,""Dons de bienfaisance, autres dons, organismes de bienfaisance et organismes à but non lucratif"",Mesures non structurelles,IRS,Titres cotés en bourse,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d."
Déductibilité des provisions pour tremblements de terre,Dépenses fiscales,Entreprises - autres,Mesures structurelles,IRS,Impôt sur le revenu des sociétés,F,-1,F,F,-1,F,F,F
Déduction au titre de l’aide pour frais de scolarité liés à la formation de base des adultes,Dépenses fiscales,Éducation,Mesures structurelles,IRP,Impôt sur le revenu des particuliers,3,3,5,10,5,5,5,5
Déduction de certains coûts engagés par les musiciens,Dépenses fiscales,Emploi,Mesures structurelles,IRP,Impôt sur le revenu des particuliers,1,1,1,1,1,1,1,1
"Déduction des autres frais liés à l’emploi,Dépenses fiscales,Emploi,Mesures structurelles,IRP,Impôt sur le revenu des particuliers,""1,145"",""1,270"",""1,265"",""1,225"",""1,210"",""1,225"",""1,235"",""1,255"""
"Déduction des cotisations syndicales et professionnelles,Dépenses fiscales,Emploi,Mesures structurelles,IRP,Impôt sur le revenu des particuliers,""1,075"",""1,160"",""1,210"",""1,275"",""1,325"",""1,365"",""1,415"",""1,480"""
